# 02
bela	beautiful
birdo	bird
blanka	white
bona	good
brili	To shine. To be bright
ĉevalo	horse
dormi	to sleep
flava	yellow
floro	flower
flugi	to fly
forta	strong
granda	large, great, big
kaj	and
kanti	to sing
knabo	boy
kuri	to run
la	the
luno	moon
marŝi	to walk; march
pomo	apple
suno	sun
tablo	table
violo	violet
viro	man
# 03
alta	high, tall
arbo	tree
ĉambro	room
en	in
esti	to be
folio	leaf
freŝa	fresh
ĝardeno	garden
kampo	field, area
kolombo	dove
kuŝi	to lie down
longa	long
rozo	rose
ruĝa	red
seĝo	chair
sidi	to sit, to be seated
sur	on, upon
ŝajni	to seem, to appear to be
verda	green
# 04
apud	by, near, beside (applies to place only)
benko	bench
branĉo	branch
diversa	various
feliĉa	happy
frukto	fruit
havi	to have
herbo	grass
ili	they
kolekti	to gather, to collect
koloro	color
larĝa	wide, broad
manĝi	to eat (something)
mola	soft
nigra	black
ne	not, no
rompi	to break (something)
sed	but
trovi	to find
vidi	to see
# 05
bruna	brown
ĉerizo	cherry
ĉu	yes/no interrogative
dolĉa	sweet
gusto	taste
ĝi	it
Gertrudo	Gertrude
knabino	girl
matura	ripe
Mario	Mary
nek	nor, neither... nor...
persiko	peach
jes	yes
preferi	to prefer
ŝati	to like, to appreciate
voli	to want to, to wish
# 06
al	to, toward
aŭ	or
aŭ...aŭ...	either...or...
ĉar	because, since
doni	to give
fali	to fall
fenestro	window
hodiaŭ	today
kudri	to sew
skui	to shake
stari	to stand
sub	under, beneath
virino	woman
Roberto	Robert
# 07
agrabla	pleasant, agreeable, nice
bildo	picture, image
blua	blue
danki	to thank
de	from
diri	to say
infano	child
interesa	interesting
luma	light (not dark)
muro	wall
nun	now
planko	floor
pordo	door
rigardi	to look (at)
tapiŝo	carpet
tra	through
# 08
Alfredo	Alfred
amuzi	to amuse
antaŭ	before, in front of (time and space)
aparteni	to belong to
griza	gray
iri	to go
Johano	John
kaŝi	to hide (something)
komenci	to begin (something)
laŭdi	to commend, to laud, to praise
legi	to read
libro	book
perdi	to lose (something)
skatolo	box
strato	street
si	himself, herself, themselves, itself
