monpuno	fine (punishment)
vundo	wound, injury
kulturo	culture
honesta	honest
kulturi	to grow, to cultivate
firma	firm, stable
ataki	to attack
komforta	comfortable
kompari	to compare
minaci	to threaten
ŝerci	to joke, jest
ĉiel	in every way
praktiko	practice
forno	stove, furnace
semo	seed
skatolo	box
mieno	look, expression
konsisti el	to consist of
kisi	to kiss
armo	weapon
nordo	north
defendi	to defend
speciala	special, particular
pentri	to paint (a portrait, landscape, etc)
mensogo	lie (not truth)
honoro	honour
ŝerco	joke (n)
flago	flag
ondo	wave
prezo	price
pomo	apple
fama	famous
viando	meat
fromaĝo	cheese
kondiĉo	stipulation, condition, terms
subita	sudden
tusi	to cough
posedaĵo	property, possession
rikolti	to harvest, reap
desegni	to design, draw
fadeno	thread
okcidento	West
plata	flat, planar
ŝnuro	string, cord
konstanta	constant
speciale	particularly, specially
korespondi	to correspond (by mail)
poto	jug, pot, can, jar
eduki	to raise, to bring up, to educate, to breed
ŝarĝo	load, burden, charge
oriento	east
fakto	fact
telefono	telephone
armi	to arm, reinforce
planto	plant (n)
krimo	crime
sekreto	(a) secret
kajero	exercise-book, notebook, folder
apartenaĵo	a belonging
planti	to plant
baro	bar, barrier (or unit of pressure)
rekomendi	to recommend
gasto	guest
reto	network, net
ŝranko	cupboard, wardrobe
imiti	to imitate
cifero	cipher, numeral, digit, figure
rifuzi	to refuse
kombi	to comb
aprobi	to approve
trompi	to deceive
pinglo	pin (in a shirt, etc)
stranga	strange, odd
sorto	destiny, luck; fortune, fate
meriti	to deserve, to be worthy of, to merit
ŝiri	to tear, rip (tr)
sentaŭgulo	good-for-nothing (person)
imagi	to imagine
trovi	to find
akiri	to acquire, get
gliti	to glide, slide, slip
vundi	to hurt, to wound
barbo	beard
ŝtrumpeto	sock (n)
muŝo	fly; housefly
regula	regular (as a system) (adj)
miliono	(a) million
informi	to inform
scienco	science
falsi	to counterfeit, to fake, to falisfy (tr)
apogi	to support; lean on
regno	state, realm
diferenca	different
lipo	lip
preĝejo	church (building)
lampo	lamp
taso	cup
akra	sharp
industrio	industry
atakema	aggressive
teo	tea
rando	edge, rim
streĉi	to stretch, wind up (tr)
salo	salt
kuvo	tub, vat
danci	to dance
kravato	necktie, tie
avara	avaricious, miserly, stingy
malstreĉiĝi	to relax
flegi	to nurse, to take care of (relating to illnesses)
akompani	to accompany
publiko	(the) public
ĉemizo	shirt
soldato	soldier
preĝi	to pray
fidela	faithful
ĉasi	to hunt
boli	to boil (intr)
sapo	soap
korno	horn
tegmento	roof
rezulto	result (n)
botelo	bottle
butono	button
soifa	thirsty
ĝenerala	general, unspecific
boligi	to boil (tr)
signo	sign, mark, token
pantalono	pants, trousers
poluri	to polish
iel	somehow, anyway
konfesi	to confess
venki	to defeat, to win over, to conquer
serpento	snake, serpent
konscii	to be aware of, be conscious of
praktika	practical
guto	drop, drip
rado	wheel
vigla	alert, brisk, keen
plura	several, multiple
ŝovelilo	shovel (n)
bonŝanco	good fortune, good luck
konvena	suitable, appropriate, fitting
fosilo	spade, shovel
densa	dense, thick
enspezo	income
litero	letter (of the alphabet)
bedaŭri	to regret
vosto	tail
ponto	bridge
sezono	season (n)
ŝanco	chance (of success), luck
haŭto	skin
matura	ripe; mature
volvi	to wind, to wind up, to roll, to roll up
spegulo	mirror
metalo	metal
taŭga	suitable, fitting, adequate
insulo	island
tabulo	board, plank, blackboard (teaching)
polvo	dust
doktoro	doctor (person with doctorate) (not necess. medical)
progreso	progress (n)
miksi	to mix (tr)
naĝi	to swim
puni	to punish
paro	pair, couple
ripari	to repair, mend
riproĉi	to reproach, to reprove, to rebuke, to blame, to scold, tell off
obei	to obey
posedi	to possess, to own
polico	police
legomo	vegetable
ŝuo	shoe
piki	to sting, to prick
surda	deaf
premio	prize, premium
krimulo	criminal (person)
meblo	piece of furniture
broso	brush
kilogramo	kilogram
leciono	lesson
elspezi	to spend money, to pay out
serio	a set, series
estingi	to extinguish
regulo	rule, regulation
subite	suddenly
peli	to drive on, to chase, to impel, to drive, to shoo, to propel
ungo	fingernail; claw
tuko	(a piece of) cloth
maŝino	machine, engine
nepo	grandson
forpeli	to drive away
progresema	progressive
hejti	to heat
gvidi	to guide, to head, to lead, to conduct, to direct
kelo	cellar
foso	ditch
pilko	ball (for games)
kvieta	quiet, calm
fumo	smoke
aparteni	to belong to
sankta	holy
gaso	gas (state of matter)
konsistigi	to constitute, to make up
kombilo	comb (n)
tualeto	toiletries, toilette
nepra	absolute, unfailing, without fail
pacienca	patient (adj)
oro	gold
organizi	to organise
beko	beak
bastono	stick
fakte	indeed, in fact
ial	for some reason
branĉo	branch
nevino	niece
viŝi	to wipe, to wipe off, to erase, to clear
ies	someone's
sanktulo	saint
sperta	experienced, expert
policano	policeman
fosi	to dig, to grub, to spade
oleo	oil
honti	to be ashamed
soifi	to be thirsty
ŝoveli	to shovel
pasto	paste; dough
ĉapitro	chapter
tolo	linen (cloth)
sudo	south
balai	to sweep
mendi	to reserve, to book, to order (goods)
delikata	delicate
kesto	chest, box
frunto	forehead
plugi	to plow, to plough
ĝentila	polite
karbo	coal
jako	jacket
najbaro	neighbour
ebena	even, level, flat
fako	branch, pigeonhole, department, section, specialty
presi	to print
osto	bone
spertulo	expert (person)
anonci	to announce
progresi	to get along, to proceed, to progress
konsisti	to consist (intr)
respekti	to respect
vico	rank, line, file, turn, row
konsisto	consistency
fiera	proud
publika	public (adj)
rilati	to relate, to concern, refer to
pinto	tip, summit, peak, point, apex
skrapi	to scrape
kameno	fireplace, hearth
vango	cheek
konduti	to behave, to conduct oneself
rezulti	to result, to end as
troviĝi	to be found, to be located
graso	fat, grease
kapro	goat
parenco	relative, family member
nevo	nephew
mensogi	to tell a lie
averti	to warn, to caution
eviti	to avoid
valo	valley
falsa	false
blovi	to blow
supo	soup
noto	note; mark, grade
pafi	to shoot
fakulo	specialist (person)
tremi	to shiver, to tremble, to quiver
spico	spice, seasoning
savi	to save, rescue
ĝeni	to trouble, to disturb, to hinder, to bother
praktiki	to put into practice, to use professionally
forko	fork
ŝtrumpo	stocking
diferenci	to differ, be different
spezi	to spend/receive money
