modesta	modest (not boastful)
gratuli	to congratulate
vergo	wand, rod, switch, twig
ombrelo	umbrella
sitelo	pail, bucket
malvarmumo	cold (illness)
fabriko	fabric, factory, manufacture
ezoko	pike (fish)
drapo	cloth, woolen cloth, sheet
araneo	spider
heredi	to inherit
funto	pound
pulvo	gunpowder
raporti	to report, to give a report
kruta	steep
mamo	udder, breast, teat
petrolo	petroleum, kerosene
kaso	moneybox, treasury
teorio	theory
gesti	to gesture
poezio	poetry
frakasi	to shatter, break to pieces
pasio	passion
kondamni	to condemn
pleto	tray
maĉi	to chew, masticate
febro	fever
beni	to bless
kverko	oak
nervo	nerve
fiziko	physics
distribui	to allocate, apportion, distribute
temperaturo	temperature
tendaro	camp (n)
salono	living room, lounge
akurata	accurate, on time, prompt, punctual, exact, precise,
kino	the cinema (films)
palaco	palace
malbeni	to curse
brava	brave, gallant, good, honest, stalwart, staunch, valiant, valorous, worthy
robo	dress, gown, robe
mekaniko	mechanics
rekordo	record (unexcelled performance)
malprofito	loss (financial)
abomeno	abhorrence, abomination, horror, disgust, loathing
kubuto	elbow
admiri	to admire
profesio	profession, occupation, calling
aŭtoritato	authority
melki	to milk
parko	park
deklari	to declare, state, proclaim
problemo	problem
tajli	to cut, polish (as in diamond, cloth)
anaso	duck
nivelo	level
preteksto	pretext, excuse
arko	arc, bow, arch, buttress
friti	to fry
skui	to shake
kastelo	castle
mino	mine (of coal, silver, etc)
tono	tone (note)
juro	jurisprudence; law
sekretario	secretary
vualo	veil
financo	finance
sporto	sport
barelo	barrel, cask
stampi	to mark officially, to stamp
naŭzi	to nauseate
ŝargi	to charge, load
dramo	drama, thriller
mandato	money order
adopti	to adopt
stango	pole
urso	bear
proceso	legal process, lawsuit
bebo	baby
velki	to wilt, to wither
sveni	to faint, to swoon
striki	to strike (of workers)
krizo	emergency, crisis, depression
importi	to import
gladi	to iron (clothes)
identa	identical
marĉo	swamp, marsh
arda	ablaze, afire, aflame, aglow, ardent
krono	crown
ripo	rib
regali	to regale, to treat (to food or drink), to entertain
sojlo	threshold
telegramo	telegram
dependi	to depend
eleganta	elegant
pupo	doll
modera	moderate
pulmo	lung
kruela	cruel
studento	student (college, etc)
oscedi	to gape, yawn
tempesto	storm, tempest
hospitalo	hospital
moderna	modern
kateno	fetter, chain
suspekti	to suspect
vidvo	widower
benzino	petrol, gasoline
munti	to assemble, mount, set
trajno	train
faŭko	jaws, maw
muso	mouse
profito	profit
esenco	essence, gist, substance
kritiki	to criticize
vakcino	vaccine
mediti	to meditate
tipo	type
tribunalo	tribunal, court
pato	pan, frying pan
trajto	feature
emocio	emotion
escepti	to except, exclude
orto	right angle
moskito	mosquito
kaprica	fitful, capricious
disko	disk
funebro	mourning
triangulo	triangle
aviadilo	airplane, aircraft
entrepreni	to undertake (take it upon oneself to do)
trezoro	treasure
reciproka	reciprocal, mutual
disputi	to argue, dispute, bicker, contest, wrangle, contend
originalo	original (not a copy)
indiferenta	indifferent
albumo	album
frago	strawberry
alkoholo	alcohol, spirit
kripla	crippled
trunko	trunk (of tree or body)
posteno	station, post, place of duty
prokrasti	to procrastinate, to put off, to postpone, to delay
rezigni	to forgo, renounce; give up
duŝo	douche, shower
asocio	association (organization)
surfaco	surface (of something)
vito	vine, grapevine
kompleta	complete, entire, fully
motoro	motor, engine
recepto	recipe; prescription
elturniĝi	to wangle, contrive, maneuver
fanfaroni	to bluster, boast, brag, swagger, boast
piro	pear
veneno	poison
pilo	pile, cell of battery
krepusko	twilight
kajo	quay; platform
varo	commodity; (item of) wares, merchandise
riski	to risk
detalo	detail
cemento	cement
kupro	copper (metal)
cirkonstanco	circumstance
adicii	to add (up), count in
observi	to observe, to take note of
kukolo	cuckoo
procedi	to proceed
trotuaro	sidewalk, pavement
literaturo	literature
komisiono	commission
imperio	empire
perfekta	perfect
normala	normal
sopiri	to yearn, to long for
stumpo	stump (of tree, etc)
senescepte	without exception
grajno	pip, granule, grain
operacii	to operate (surgery)
konkludi	to induce, to infer, to abstract, to gather, to conclude
eksplodi	to explode
ganto	glove
masto	mast
balanci	to rock, swing, sway, nod
rifuĝi	to take refuge, shelter
apartamento	apartment
senso	sense (sight, hearing, etc.)
atesti	to attest, to certify
genio	genius
minus	minus
deserto	dessert
ŝelo	shell, bark, peel
gloro	glory
humida	humid, damp, moist
strukturo	structure
kalkano	heel (of the foot)
sagaca	astute, shrewd, resourceful
brovo	brow, eyebrow
ĵaluza	jealous
brakumi	to embrace, hug
tordi	to twist
civilizi	to civilize
bubo	brat, boy (often pejorative)
ŝraŭbo	screw
vulpo	fox
modelo	model
metodo	method, way
knedi	to knead
konferenco	conference
ebria	drunk, intoxicated, tipsy, inebriated
panjo	mum, mummy, mom, mama
pelto	coat or wrap of fur
lifto	lift, elevator
serena	serene, calm
velo	sail
ekstrema	extreme
heroo	hero
komika	comical, funny
almozo	alms, charity, handout, charitable relief
strio	streak, stripe, band
migri	to migrate, to roam, to wander, to wander about
kolumo	collar (clothing)
penti	to repent
stilo	style
verbo	verb
amplekso	amplitude, bulk, dimension, extent, size, scope, magnitude, range
ŝmiri	to anoint, to smear
hufo	hoof
dungi	to employ, engage, hire
rekompenco	reward, compensation
administri	to administer, manage
koto	mud
konfuzi	to confuse, confound
ju pli	the more....
rabi	to pillage, to plunder
envii	to envy
afiŝo	notice, placard, poster, bill, sign, article
patrono	patron
garantii	to guarantee, to warrant
instali	to install
bremso	brake
fleksi	to bend
ritmo	rhythm
sovaĝa	wild, savage
inklina	inclined (to), disposed
degeli	to melt, thaw
signalo	signal, sign
apoteko	drugstore, pharmacy, chemist
fundamento	foundation, base
pejzaĝo	landscape
ĉerpi	to bail, draw (water), excerpt, extract, spoon
kinejo	cinema
kolono	column, pillar
ronki	to snore, snort
muskolo	muscle
tajloro	tailor
ŝtalo	steel
poemo	poem
kamiono	lorry, truck
lupo	wolf
triki	to knit
kabineto	(room) study, office; (politics) cabinet
sklavo	slave
bazo	base, foundation
citi	to cite, quote, mention
svingi	to swing, to brandish
konfidi	to trust, have confidence in
biciklo	bicycle
intelekto	intellect, mind
hajlo	hail (frozen rain)
ĉerizo	cherry
veŝto	vest, waistcoat
bombono	bonbon, piece of candy, sweet
segilo	saw (tool)
virto	virtue
varii	to vary (intr)
ĉeno	chain, sequence
simpatio	liking, fellow-feeling
nobla	noble (character)
mastrumi	to manage, to keep house
ŝuti	to pour out, tip out
konvinki	to convince
korko	cork (substance)
