akuzi	to accuse
beto	beet
agento	agent
tajpi	to type
tomato	tomato
cikonio	stork
veziko	bladder, bubble, blister
radiatoro	radiator
sulko	furrow, wrinkle
bronzo	bronze
teritorio	territory
ekrano	screen
mielo	honey
komplemento	complement
ŝaŭmo	foam, froth
konsekvenco	consequence, consistency
Azio	Asia
baloti	to ballot, poll, vote, elect
nenial	for no reason
ĉiom	the whole, all
rendevuo	rendezvous; appointment
perei	to perish
spongo	sponge
trejni	to coach, train
grego	flock, herd
fi	fie! shame!
palpebro	eyelid
monstro	monster
papilio	butterfly
limako	slug, snail
cikatro	scar
kosmo	outer space, cosmos, universe
oponi	to oppose
pronomo	pronoun
budĝeto	budget
kolonelo	colonel
aluminio	aluminum
zumi	to hum, to buzz
kompromiti	to compromise, endanger, imperil, jeopardize, prejudice
pekli	to pickle (meat, etc)
psikologio	psychology
felto	felt
salato	salad
mistifiki	to fool, hoax, mystify, trick
centimetro	centimeter
instanco	authoritative source, court, (competent official) authority, instance, jurisdiction, body
kaduka	decaying, in ruin
plasto	plastic (material)
barbiro	barber
ĉaro	car, cart, chariot
recenzi	to review
gobio	gudgeon
inventi	to invent
menuo	menu
kontanta	cash, in cash
kalo	callus, corn (on foot)
akto	act (of a play)
melono	melon
kompensi	to compensate
tigo	stalk, stem
aktiva	active (grammatical)
majesta	majestic
elektroniko	electronics
piano	piano
rivoluo	revolution
borso	money market, stock exchange, stock market
manovri	to maneuver
lekcio	lecture
sorbi	to absorb
establi	to establish
korniko	hooded crow
bleki	to neigh, bleat, give its cry (of any animal)
cinamo	cinnamon
satiro	lampoon, satire
malica	malicious
blasfemi	to blaspheme, cuss, curse, swear
kankro	crab, crayfish
bukedo	bouquet
proponi	to propose, to offer
federacio	federation
stadio	period, phase, stage, stadium (Greek measure)
kakto	cactus
reala	real
balbuti	to falter, stammer, stutter
cirkuli	to be about, circulate, get about
vagi	to wander, to roam
hektaro	hectare
akcento	accent, stress
prelegi	to address, discourse, lecture
moralo	morals
bruto	brute, beast, head of cattle
nukso	nut
riveli	to develop, reveal
cirkvito	circuit
parlamento	parliament
ĉerko	coffin
volumo	tome, volume
kartono	cardboard, pasteboard
pudro	(cosmetic) powder
provoki	to defy, incite, provoke, incite
abrikoto	apricot
procento	interest, percentage
lojala	faithful, loyal
pavo	peacock
subjekto	subject (grammar), topic
debeto	debit
fuŝi	to bungle
relativa	relative
ovalo	oval
plago	calamity, scourge, plague
saliko	willow
enketi	to inquire, investigate, make an inquiry, survey
buklo	curl (of hair)
sekcio	branch, chapter, section
revolucii	to revolt
grati	to scratch
romano	novel
karpo	carp
kajuto	compartment, cabin (on ship or plane)
alterni	to alternate
ĉies	everyone's
nuko	back of the neck, nape, scruff
kostumo	costume, outfit, suit, dress, garb
veluro	velvet
kahelo	flag, paver, paving block, tile
avantaĝo	advantage, benefit
girlando	garland, wreath
pantoflo	slipper
bredi	to breed, farm, keep, raise, rear
akcio	corporate share, share (finance), stock
kejlo	peg, pin
adverbo	adverb
tumulto	agitation, riot, tumult, disturbance, clamor, racket, row, noise, commotion
kolegio	college
tapeto	tapestry, wall covering, wallpaper
ciro	shoe polish; blacking (for shoes)
akso	axis, axle
konsulo	consul
turismo	tourism
bonvoli	to do a favor
rafano	radish
kandidato	candidate
propozicio	proposition, sentence, statement
spiti	to defy
cikado	cicada
kukurbo	pumpkin
barko	bark, boat, small ship
gvardio	guard (elite military corps, not sentry)
kamelo	camel
