again	although	answer	any
are	become	been	both
bought	catch	climbed	color
come	could	country	do
does	door	earth	edge
eight	enough	example	eyes
father	few	find	four
friend	from	give	great
group	have	heard	island
kind	knew	know	learn
listen	live	many	measure
most	mother	move	night
off	often	old	on
once	one	only	other
people	picture	piece	quickly
right	said	science	should
sign	snow	some	straight
stretch	sure	talk	their
there	they	though	thought
through	to	today	two
usually	walk	want	was
watch	water	were	what
where	who	women	word
work	world	would	write
wrote	you	young	your
