action	actor	actually	addition	agreed
allowed	aloud	amendment	amount	amusement
annual	appointed	arrange	attention	awhile
beginning	bruise	business	calves	capital
capitol	captain	carefully	caught	cause
celebrate	century	chemical	chocolate	circle
climate	climbed	collar	column	company
condition	consider	consonant	constant	continent
continued	country	course	crystal	current
curtain	daughter	daytime	decided	decimal
delicious	desert	dessert	details	determine
dictionary	difference	different	difficult	direction
disappoint	division	eighth	election	elements
energy	enjoyment	equal	equation	errands
exact	except	expect	explain	explode
express	factory	fault	favorite	finally
finished	forward	fought	fraction	furniture
future	general	government	graceful	graph
grasp	grease	grown-ups	guest	guide
happened	happily	harvest	healthy	height
hoarse	human	idea	imagine	include
increase	indicate	information	instrument	intention
interesting	inventor	island	jewel	journey
jungle	knives	known	language	laughter
length	limb	located	lumber	major
mammal	manufacture	material	mayor	measure
melody	members	memories	message	method
million	minor	modern	mountain	music
natural	necessary	neither	newspaper	northern
notebook	notice	noun	numeral
object
observe	opposite	orphan	ought	outside
oxygen	paid	paint	paragraph	pattern
pause	payment	perhaps	period	permit
phone	phrase	pleasant	pleasure	plural
poison	position	possible	practice	prepared
president	probably	problem	process	produce
program	promise	property	protection	provide
puzzle	quickly	quietly	radio	raise
rarely	rather	reached	receive	record
region	relax	remain	remove	repay
repeat	report	represent	respond	result
rhythm	rising	ruin	salad	sandal
scale	scent	schedule	science	section
separate	service	settled	several	shadow
shelter	shoulder	shouted	shower	signal
similar	sincerely	single	size	slippery
soar	soil	solution	solve	southern
split	spoiled	sports	square	squeeze
stain	state	statement	station	steer
stomach	stopping	straight	straighten	stream
stretched	suggest	suitcase	sunset	supply
sure	surface	surprise	surround	sweater
syllable	syrup	tablet	tasty	teaspoon
terrible	though	thoughtful	thrown	tornado
toward	traffic	trail	treasure	treatment
triangle	trouble	tunnel	type	understood
unknown	usually	value	various	warn
weigh	weight	weird	western	whisper
whoever	whole	whose	wives	women
wonderful	wound	wreck	x-ray	yesterday
