against	agree	airport	alarm	alive
all right	alley	alphabet	although	always
angriest	angry	animal	answer	asleep
attack	aunt	banana	battle	beautiful
beauty	become	beggar	believe	belong
between	blanket	blood	bottle	bought
bounce	breath	bridge	broke	broken
brought	bubble	building	built	busy
button	buying	calf	camera	cardboard
caring	carrying	catch	center	certain
chance	charge	cheer	chicken	chief
choice	choose	chore	chose	circle
cities	clothing	coast	coin	comb
common	copy	corner	cottage	cotton
couch	cough	couldn't	couple	cousin
cover	crayon	crime	crooked	crow
crowd	crumb	curl	dairy	damage
danger	dawn	deaf	dear	death
decide	degree	deliver	didn't	dirty
disappear	dislike	divide	double	downstairs
drain	drawer	earlier	earn	earth
easier	eighty	either	electric	engine
enough	evening	except	faint	false
famous	fear	feather	felt	fever
few	fifth	fifty	final	follow
forever	forgive	forty	fourth	fright
fruit	gain	garden	gasoline	gather
gentle	giant	glance	gold	grandfather
grandmother	groceries	grown	guard	handsome
happiest	he'll	he's	health	heard
hiking	holiday	honey	honor	hospital
hour	however	howl	hundred	hungry
hurry	husband	important	interest	invite
jacket	jaw	judge	juice	kindness
kitchen	kneel	knight	libraries	library
listen	lonely	loyal	machine	mailbox
meant	medal	middle	mirror	mistake
moment	monkey	movement	neighbor	neither
nickel	ninety	ninth	no one	nobody
o'clock	obeyed	odd	office	often
paper	parent	paste	path	peaceful
pencil	perfect	picture	planet	playground
pleasing	police	powerful	proper	public
question	quiet	quilt	quit	quite
railroad	reach	ready	reason	remember
return	ridge	roast	roof	rough
round	ruler	safe	sauce	scrap
search	season	self	seventh	seventy
sharp	she'll	she's	shout	sidewalk
sigh	sign	simple	since	sink
sixth	sixty	sleeve	smooth	sneeze
soften	spare	special	squirrel	steal
steel	strange	studied	studying	style
suppose	tennis	thirty	thumb	tool
towel	tube	tuna	twenty	twice
uncle	understand	useful	useless	village
visit	wait	weather	weight	whenever
whether	wife	wonder	wood	world
worried	wrist	worse	wouldn't	written
yourself	zebra	zero	zipper	zoo
