a lot	after	again	air	also
always	animal	another	any	around
ask	away	back	barn	bath
because	been	before	best	better
between	blend	boat	both	bright
brother	buy	call	cannot	child
clean	clock	cold	could	count
deep	deer	dish	does	don't
dress	drip	drive	drop	drum
each	eight	eleven	end	even
every	family	fast	fed	feed
fight	first	found	friend	gave
give	goat	goes	good	great
grin	happy	help	here	high
him	home	house	its	jump
just	kind	kiss	large	light
line	lion	list	little	lock
long	look	loud	lunch	made
mess	might	most	much	must
new	night	nine	now	off
only	or	our	out	path
place	plus	pool	put	rabbit
read	rest	right	rock	said
says	sea	second	seem	send
seven	shape	sight	silly	sing
sister	slid	slip	snack	speed
song	soon	sound	stamp	state
still	stone	such	summer	take
tell	their	them	there	these
thing	think	ton	too	tray
treat	trick	tune	twelve	under
upon	us	use	very	wash
well	went	where	which	who
why	winter	wish	work	would
write	yard	year	yet	your
