abandon	abbreviation	absence	absolutely
absorb	abundant	accessible	accompanied
accomplishment	accurate	achievement	acres
adequate	adjustable	admit	admittance
advice	advise	afghan	alternate
alternative	amusement	analysis	analyze
ancestor	anniversary	appreciate	artificial
assistance	association	athlete	atmosphere
attendance	authority	bacteria	bagel
baggage	benefited	benefiting	bicycle
biscuit	bizarre	boulevard	boundary
bouquet	brilliant	brochure	bulletin
bureau	campaign	cancellation	candidate
capable	capital	capitol	category
celery	cemetery	changeable	chaperone
character	cinnamon	civilize	commercial
committed	committee	commotion	companion
competent	competition	complement	complex
compliment	compressor	concentrate	concentration
conductor	confetti	congratulations	consequently
controlling	cringe	culminate	culprit
deceive	delayed	democracy	deodorant
descendent	description	diameter	diamond
discourage	disgraceful	dismissal	distinguished
dreadful	economics	economy	elementary
embarrass	emotion	emphasize	encircle
enclosing	encounter	endurance	engineer
environment	episode	erosion	eruption
evident	exchange	executive	exhibit
expensive	extinct	extinguish	extraordinary
extremely	fabricate	failure	fascinating
fatigue	flagrant	foreign	forfeit
frequently	fundamental	genuine	ghetto
gossiping	gradual	graffiti	grammar
grievance	guarantee	harass	havoc
heroic	hesitate	horrify	hospital
humid	humility	hygiene	identical
idle	idol	illegal	illustration
imaginary	immediately	immobilize	impossibility
inconvenient	incredible	individual	infamous
influence	informant	inhabit	inherit
innocence	innocent	instructor	intelligent
interruption	introduction	involvement	irate
irresistible	jealousy	judgment	juvenile
kettle	knitting	laboratory	language
legibly	liquidation	management	maneuver
media	mileage	miniature	misbehaved
morale	mortgage	movement	murmur
musician	mysterious	negotiate	nervous
nuisance	nurture	oases	oasis
obedient	obstacle	obviously	occasion
ordinarily	ordinary	organization	pamphlet
panic	panicked	panicky	parallel
paralysis	paralyze	penicillin	pedestrian
phantom	pheasant	phrase	politely
popular	precipitation	principal	principle
privilege	procedure	pronunciation	psychology
puny	qualified	qualifying	quotation
raspberry	reasonable	receipt	receiving
recipe	recognition	recommend	recruit
reddest	reprimand	resigned	restaurant
rotten	sandwich	scarcity	scenery
secretary	securing	significance	simile
sincerely	sincerity	situation	skeptical
slumber	smudge	solemn	souvenir
spacious	specific	stationary	stationery
statistics	subscription	substitute	superintendent
supervisor	supposedly	threatening	tolerate
tongue	tournament	tragedy	traitor
transferred	transferring	transmitted	traveled
traveling	unfortunately	uniform	university
unnecessary	valuable	various	vehicle
version	vertical	victim	vigorously
violation	visualize	volcano	voyage
wealthy	weapon	wheeze	wilderness
